@relation R_data_frame

@attribute instance_id string
@attribute repetition numeric
@attribute CfsSubsetEval {ok, timeout, memout, presolved, crash, other, unknown}
@attribute DecisionStump {ok, timeout, memout, presolved, crash, other, unknown}
@attribute DefaultAccuracy {ok, timeout, memout, presolved, crash, other, unknown}
@attribute EquivalentNumberOfAtts {ok, timeout, memout, presolved, crash, other, unknown}
@attribute Hoeffding {ok, timeout, memout, presolved, crash, other, unknown}
@attribute J48 {ok, timeout, memout, presolved, crash, other, unknown}
@attribute kNN1 {ok, timeout, memout, presolved, crash, other, unknown}
@attribute Statistics {ok, timeout, memout, presolved, crash, other, unknown}
@attribute NaiveBayes {ok, timeout, memout, presolved, crash, other, unknown}
@attribute NoiseToSignalRatio {ok, timeout, memout, presolved, crash, other, unknown}
@attribute Counting {ok, timeout, memout, presolved, crash, other, unknown}
@attribute RandomTree {ok, timeout, memout, presolved, crash, other, unknown}
@attribute REPTree {ok, timeout, memout, presolved, crash, other, unknown}

@data
X785_wind_correlations,1,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
X786_cleveland,1,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
X788_triazines,1,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
X789_fri_c1_100_10,1,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
X790_elusage,1,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
X791_diabetes_numeric,1,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
X792_fri_c2_500_5,1,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
X793_fri_c3_250_10,1,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
X794_fri_c2_250_25,1,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
X795_disclosure_x_tampered,1,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
X796_cpu,1,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
X797_fri_c4_1000_50,1,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
X798_cholesterol,1,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
X799_fri_c0_1000_5,1,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
X7_audiology,1,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
X800_pyrim,1,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
X802_pbcseq,1,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
X803_delta_ailerons,1,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
X804_hutsof99_logis,1,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
X805_fri_c4_500_50,1,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
X806_fri_c3_1000_50,1,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
X807_kin8nm,1,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
X808_fri_c0_100_10,1,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
X809_mushroom,1,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
X810_pbc,1,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
X811_rmftsa_ctoarrivals,1,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
X812_fri_c1_100_25,1,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
X813_fri_c3_1000_5,1,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
X814_chscase_vine2,1,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
X815_chscase_vine1,1,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
X816_puma8NH,1,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
X817_diggle_table_a1,1,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
X818_diggle_table_a2,1,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
X819_delta_elevators,1,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
X820_chatfield_4,1,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
X821_house_16H,1,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
X822_cal_housing,1,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
X823_houses,1,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
X824_fri_c1_500_10,1,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
X825_boston_corrected,1,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
X826_sensory,1,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
X827_disclosure_x_noise,1,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
X828_fri_c4_100_100,1,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
X829_fri_c1_100_5,1,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
X830_fri_c2_250_10,1,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
X831_autoMpg,1,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
X832_fri_c3_250_25,1,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
X833_bank32nh,1,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
X834_fri_c4_250_100,1,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
X835_analcatdata_vehicle,1,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
X836_sleuth_case1102,1,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
X837_fri_c1_1000_50,1,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
X838_fri_c4_500_25,1,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
X839_kdd_el_nino.small,1,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
X840_autoHorse,1,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
X841_stock,1,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
X842_analcatdata_runshoes,1,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
X843_house_8L,1,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
X844_breastTumor,1,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
X845_fri_c0_1000_10,1,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
X846_elevators,1,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
X847_wind,1,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
X848_schlvote,1,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
X849_fri_c0_1000_25,1,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
X850_fri_c0_100_50,1,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
X851_tecator,1,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
X852_analcatdata_gsssexsurvey,1,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
X853_housing,1,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
X854_fishcatch,1,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
X855_fri_c4_500_10,1,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
X857_bolts,1,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
X858_hungarian,1,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
X860_vinnie,1,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
X861_auto93,1,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
X862_sleuth_ex2016,1,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
X863_fri_c4_250_10,1,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
X864_sleuth_ex2015,1,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
X866_fri_c2_1000_50,1,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
X867_visualizing_livestock,1,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
X868_fri_c4_100_25,1,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
X869_fri_c2_500_10,1,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
X870_fri_c1_500_5,1,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
X871_pollen,1,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
X872_boston,1,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
X873_fri_c3_250_50,1,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
X874_rabe_131,1,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
X875_analcatdata_chlamydia,1,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
X876_fri_c1_100_50,1,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
X877_fri_c2_250_50,1,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
X878_fri_c4_100_10,1,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
X879_fri_c2_500_25,1,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
X880_mu284,1,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
X881_mv,1,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
X882_pollution,1,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
X884_fri_c0_500_5,1,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
X885_transplant,1,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
X886_no2,1,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
X887_mbagrade,1,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
X888_fri_c0_500_50,1,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
X889_fri_c0_100_25,1,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
X890_cloud,1,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
X891_sleuth_case1202,1,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
X893_visualizing_hamster,1,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
X894_rabe_148,1,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
X895_chscase_geyser1,1,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
X896_fri_c3_500_25,1,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
X898_hip,1,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
X899_analcatdata_negotiation,1,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
X900_chscase_census6,1,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
X901_fried,1,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
X902_sleuth_case2002,1,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
X903_fri_c2_1000_25,1,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
X904_fri_c0_1000_50,1,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
X906_chscase_census5,1,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
X907_chscase_census4,1,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
X908_chscase_census3,1,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
X909_chscase_census2,1,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
X910_fri_c1_1000_10,1,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
X911_fri_c2_250_5,1,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
X912_fri_c2_1000_5,1,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
X913_fri_c2_1000_10,1,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
X915_plasma_retinol,1,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
X916_fri_c3_100_5,1,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
X917_fri_c1_1000_25,1,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
X918_fri_c4_250_50,1,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
X920_fri_c2_500_50,1,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
X921_analcatdata_seropositive,1,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
X922_fri_c2_100_50,1,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
X923_visualizing_soil,1,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
X925_visualizing_galaxy,1,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
X926_fri_c0_500_25,1,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
X931_disclosure_z,1,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
X932_fri_c4_100_50,1,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
X933_fri_c4_250_25,1,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
X934_socmob,1,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
X935_fri_c1_250_10,1,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
X936_fri_c3_500_10,1,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
X937_fri_c3_500_50,1,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
X941_lowbwt,1,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
X943_fri_c0_500_10,1,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
X944_echoMonths,1,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
X945_kidney,1,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
X946_visualizing_ethanol,1,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
X947_arsenic.male.bladder,1,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
X948_quake,1,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
X949_arsenic.female.bladder,1,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
X950_arsenic.female.lung,1,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
X951_arsenic.male.lung,1,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
X952_prnn_fglass,1,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
X955_tae,1,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
X957_braziltourism,1,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
X958_segment,1,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
X959_nursery,1,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
X960_postoperative.patient.data,1,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
X961_analcatdata_broadwaymult,1,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
X962_mfeat.morphological,1,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
X963_heart.h,1,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
X964_pasture,1,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
X967_cars,1,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
X968_analcatdata_birthday,1,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
X969_iris,1,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
X970_analcatdata_authorship,1,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
X971_mfeat.fourier,1,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
X972_squash.stored,1,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
X973_wine,1,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
X974_hayes.roth,1,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
X975_autos,1,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
X976_kdd_JapaneseVowels,1,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
X977_letter,1,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
X978_mfeat.factors,1,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
X979_waveform.5000,1,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
X980_optdigits,1,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
X981_kdd_internet_usage,1,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
X982_heart.c,1,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
X983_cmc,1,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
X985_squash.unstored,1,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
X986_analcatdata_marketing,1,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
X988_fl2000,1,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
X989_anneal,1,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
X990_eucalyptus,1,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
X991_car,1,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
X993_kdd_ipums_la_97.small,1,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
X994_vehicle,1,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
X995_mfeat.zernike,1,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
X996_prnn_fglass,1,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
X997_balance.scale,1,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
X999_audiology,1,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
X9_autos,1,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
